FeatureID,importance_mean,importance_sd,frac_folds_positive
b81519f9ff85d250b3ff11b93ec54bc8,0.0,0.0,0.0
977711915cab8af85bbf09f4af3954f1,0.0,0.0,0.0
e56b0756bf4106b0b7f14fa46e828c2a,0.0,0.0,0.0
eb04e82f5de40a4c6ab43c4b470e4cba,0.0,0.0,0.0
6718eb07f4a1ded94863a63d5e19474e,0.0,0.0,0.0
1683506dd97567bf85f5261af480556e,0.0,0.0,0.0
0daf4b3d162fbc5fc14a1ca8f4d2c33b,0.0,0.0,0.0
c3a9c5579756dc8a0872e12edba0ef72,0.0,0.0,0.0
5702680e7007498a309e6e376da0f72f,0.0,0.0,0.0
d27439ff64e05809b9e00cfa519cdcac,0.0,0.0,0.0
024cc2ba42a565cbc58e93e2c896bb5a,0.0,0.0,0.0
